epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,1534.16,0.54961,0.37855,1.00686,0.94876,0.88607,0.94138,0.78555,0.69048,0.46867,1.07896,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,1559.39,0.55175,0.38281,1.00458,0.94508,0.87129,0.94456,0.78721,0.69705,0.46317,1.09603,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,1584.52,0.53327,0.36627,1.00032,0.93245,0.88835,0.94247,0.78782,0.68187,0.46233,1.0667,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,1609.33,0.54948,0.3761,1.00791,0.94066,0.89604,0.94382,0.7846,0.70789,0.45768,1.09306,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,1634.35,0.5401,0.37139,0.99627,0.92266,0.87789,0.93468,0.78561,0.69421,0.46947,1.08572,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,1659.26,0.53421,0.36629,0.99573,0.95896,0.88676,0.94373,0.78547,0.7031,0.46621,1.0932,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,1684.08,0.53221,0.36692,0.99505,0.94326,0.88119,0.9448,0.79498,0.68939,0.46451,1.07377,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,1709.07,0.53335,0.37072,0.99722,0.94073,0.89049,0.94775,0.79445,0.70175,0.45972,1.09212,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,1734.01,0.5129,0.3552,0.98875,0.94723,0.88865,0.94986,0.79504,0.6982,0.44115,1.10515,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,1758.86,0.52501,0.3579,0.98568,0.9398,0.90161,0.94719,0.798,0.67669,0.46202,1.07015,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
