epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,227.833,0.28376,0.2579,0.82728,0.99823,0.92683,0.98762,0.91792,0.33948,0.25149,0.86447,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,230.52,0.28182,0.25883,0.81882,0.99836,0.95122,0.99273,0.92906,0.34026,0.2217,0.86402,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,234.893,0.2381,0.23862,0.77452,1,0.95054,0.98958,0.9288,0.32848,0.21261,0.86186,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,237.433,0.22879,0.21871,0.77115,0.99973,0.95122,0.99,0.93323,0.32306,0.21209,0.86106,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,239.929,0.2167,0.2172,0.76348,0.99979,0.95122,0.9744,0.91143,0.32434,0.21476,0.86185,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,242.486,0.21096,0.21559,0.7618,0.99969,0.95122,0.97441,0.90246,0.33479,0.22729,0.8629,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,244.974,0.22043,0.21711,0.7788,0.99925,0.95122,0.97439,0.89576,0.33217,0.23009,0.86404,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,247.513,0.21662,0.2161,0.76915,0.99898,0.95122,0.9744,0.90284,0.33182,0.22716,0.86324,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,249.947,0.21288,0.20671,0.77897,0.9989,0.95122,0.97442,0.90267,0.32765,0.21747,0.86293,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,252.527,0.21697,0.21265,0.77128,0.99882,0.95122,0.97443,0.90177,0.32034,0.21538,0.86327,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,255,0.21524,0.21166,0.77701,0.99883,0.95122,0.97444,0.90224,0.3198,0.22569,0.86415,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,257.528,0.21997,0.2107,0.77117,0.99874,0.95122,0.97442,0.90648,0.3243,0.22107,0.86581,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
